"Date","Price","Open","High","Low","Change %"
"Mar 26, 2021","8.1350","7.9488","8.1615","7.9130","2.44%"
"Mar 25, 2021","7.9412","7.9345","8.0143","7.8833","0.28%"
"Mar 24, 2021","7.9187","7.9400","8.0633","7.8230","-0.26%"
"Mar 23, 2021","7.9392","7.8026","7.9756","7.6807","1.83%"
"Mar 22, 2021","7.7963","7.2185","8.1795","7.2180","8.07%"
"Mar 19, 2021","7.2140","7.3250","7.3694","7.1909","-1.44%"
"Mar 18, 2021","7.3193","7.5037","7.5680","7.2874","-2.43%"
"Mar 17, 2021","7.5017","7.4950","7.6411","7.4790","0.15%"
"Mar 16, 2021","7.4907","7.5378","7.5547","7.4645","-0.54%"
"Mar 15, 2021","7.5316","7.5635","7.6212","7.4955","-0.36%"
"Mar 12, 2021","7.5586","7.4805","7.6231","7.4690","1.31%"
"Mar 11, 2021","7.4612","7.5010","7.5601","7.4270","-0.48%"
"Mar 10, 2021","7.4974","7.6170","7.6707","7.4912","-1.50%"
"Mar 09, 2021","7.6116","7.7565","7.7861","7.5862","-2.04%"
"Mar 08, 2021","7.7698","7.5380","7.7857","7.5095","3.12%"
"Mar 05, 2021","7.5348","7.5079","7.5856","7.4668","0.48%"
"Mar 04, 2021","7.4989","7.4618","7.5833","7.4011","0.57%"
